bridge_id	source_edge_ids	review_evidence_ids	discovery_ids	source_namespace	source_label	output_label	output_product_labels	relation_type	evidence_layer	review_trace	primary_citations	species	cell_type_model	assay_or_perturbation	output_observation	product_form_ids	transition_ids	validation_status	causal_status	traversal_status	context_limitations
M21B-E000869	M21B-E000869	M21B-EVID-000812	M21B-DISC-0758	module21b_materialized_edge	Decorin-TLR2 DAMP signaling	Decorin/TLR2-associated TNF and IL-12 output	Tnf;Il12a_Il12b	induces	ligand_receptor_or_direct_molecular;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC6938589 and PMCID:PMC5029092; cited_primary_in_review=PMCID:PMC5029092; primary_checked=PMCID:PMC5029092	PMCID:PMC5029092	human; mouse	HEK-Blue human TLR2 cells and macrophage systems	Soluble decorin stimulation; pull-down/microscale thermophoresis; TLR2 blockade; NF-kB, TNF-alpha and IL-12 readouts	Soluble decorin engaged TLR2 and induced measured TNF and IL-12 output in TLR2-reporter and macrophage systems.	PROTEIN:NODE08072;PROTEIN:NODE03894		validated_primary_output	bounded_output_only	conditional_product_continuation	Preserve soluble proteoglycan decorin and TLR2/macrophage context; IL-12 output is treated as the Il12a_Il12b product, without SCI or terminal-TF inference.
M21B-E000870	M21B-E000870	M21B-EVID-000813	M21B-DISC-0759	module21b_materialized_edge	Decorin-TLR4-MD2 DAMP signaling	Decorin/TLR4-associated TNF and IL-12 output	Tnf;Il12a_Il12b	induces	ligand_receptor_or_direct_molecular;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC6938589 and PMCID:PMC5029092; cited_primary_in_review=PMCID:PMC5029092; primary_checked=PMCID:PMC5029092	PMCID:PMC5029092	human; mouse	HEK-Blue human TLR4-MD2 cells and macrophage systems	Soluble decorin stimulation; pull-down/microscale thermophoresis; TLR4 blockade; NF-kB, TNF-alpha and IL-12 readouts	Soluble decorin engaged TLR4-MD2 and induced measured TNF and IL-12 output in TLR4-reporter and macrophage systems.	PROTEIN:NODE08072;PROTEIN:NODE03894		validated_primary_output	bounded_output_only	conditional_product_continuation	Preserve soluble proteoglycan decorin, TLR4-MD2 and TLR2 co-contribution; cytokine output supports conditional product continuation without SCI or terminal-TF inference.
M21B-E000895	M21B-E000895	M21B-EVID-000838	M21B-DISC-0784	module21b_materialized_edge	Uromodulin-TLR4 inflammatory signaling	Uromodulin/TLR4-associated TNF output	Tnf	induces	ligand_receptor_or_direct_molecular;receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC3288726 and PMCID:PMC11568936; cited_primary_in_review=PMCID:PMC544039; primary_checked=PMCID:PMC544039	PMCID:PMC544039	human; mouse	Human monocyte-derived dendritic cells; mouse bone-marrow dendritic cells and macrophages; urinary THP/UMOD systems	Purified urinary uromodulin; WT/Tlr2-null/Tlr4-null/Tlr9-null/Myd88-null comparisons; TLR4 blockade; NF-kB/cytokine and in-vivo TNF readouts	Polymerized urinary uromodulin activated TLR4/MyD88-dependent myeloid inflammation and was associated with measured TNF output in the cited immune models.	PROTEIN:NODE08072		validated_primary_output	bounded_output_only	conditional_product_continuation	Preserve urinary/polymerized uromodulin, glycan/purification context and TLR4/MyD88 dependence; kidney-source and immune-model limits remain, with no SCI or terminal-TF inference.
M21B-E000922	M21B-E000922	M21B-EVID-000865	M21B-DISC-0811	module21b_materialized_edge	Extracellular HSP90alpha-TLR4-EGFR transactivation	HSP90alpha/TLR4-associated ATP release	ATP	induces	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC9313274 and PMCID:PMC8551675; cited_primary_in_review=PMID:21127066; primary_checked=PMID:21127066	PMID:21127066; PMCID:PMC3030348	human	Human U87 glioblastoma/astroglioma cells	Extracellular HSP90alpha with EGF; TLR4 blockade; PKCdelta/Src inhibition; EGFR Tyr1068 phosphorylation, calcium, ATP-release and migration readouts	Extracellular HSP90alpha/TLR4-associated EGFR transactivation was accompanied by measured ATP release in U87 cells.			validated_primary_output	bounded_output_only	conditional_product_continuation	ATP is a measured small-molecule output with no protein-form continuation; preserve EGF co-stimulation, TLR4/PKCdelta/c-Src intermediates and U87/preparation controls, with no SCI or terminal-TF inference.
M21B-E000930	M21B-E000930	M21B-EVID-000873	M21B-DISC-0819	module21b_materialized_edge	Extracellular HSP70-TLR4 inflammatory signaling	HSP70/TLR4-associated TNF output	Tnf	induces	downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC3343630 and PMCID:PMC3730854; cited_primary_in_review=PMID:22448747; primary_checked=PMID:22448747	PMID:22448747; PMCID:PMC3355006	human; mouse	Primary human macrophages and murine lung microvascular endothelial cells	Endotoxin-controlled recombinant human HSP70; TLR4-deficient and TRIF-deficient comparisons; TNF/cytoprotection and oxidant-injury readouts	Preparation-controlled extracellular HSP70/TLR4-associated responses were accompanied by measured TNF output in human macrophage and murine endothelial models.	PROTEIN:NODE08072		validated_primary_output	bounded_output_only	conditional_product_continuation	Preserve recombinant HSP70 preparation/endotoxin controls and TRIF-versus-MyD88/cell-context differences; TNF output does not establish purified binary binding, CNS/SCI weighting or terminal-TF inference.
M21B-E001135	M21B-E001135	M21B-EVID-001078	M21B-DISC-1024	module21b_materialized_edge	PD-1 ITSM pY248-SHP2 inhibitory signaling	PD-1/SHP2-associated IL-2 suppression	Il2	inhibits	ligand_receptor_or_direct_molecular;receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC4151049 and PMCID:PMC7500922; cited_primary_in_review=PMID:32184441; primary_checked=PMID:32184441	PMID:32184441; PMID:15240681	human; mouse	Jurkat/COS PD-1 constructs and Raji-PD-L1/SEE T-cell cocultures	Phosphorylated PD-1 ITSM peptide SHP2 binding/ITC; co-IP/phosphatase assays; simultaneous TCR and PD-1 ligation; IL-2 readout	PD-1 ITSM pY248 recruited/activated SHP2 and inhibited measured IL-2 production in T-cell coculture systems.	PROTEIN:NODE03977		validated_primary_output	bounded_output_only	conditional_product_continuation	Preserve PD-1 ITSM Y248, simultaneous TCR/PD-1 ligation and T-cell context; IL-2 inhibition is not a terminal-TF or SCI inference.
M21B-E001166	M21B-E001166	M21B-EVID-001109	M21B-DISC-1055	module21b_materialized_edge	LILRB1 ITIM-SHP1 inhibitory signaling	LILRB1/SHP1-associated serotonin-release suppression	Serotonin	inhibits	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1240275/full; cited_primary_in_review=PMID:11907092; primary_checked=PMID:11907092	PMID:11907092	human; rat	COS-7 and rat basophilic-leukemia receptor transfectants	LILRB1 ITIM mutants; SHP1 co-immunoprecipitation/binding; Fc-epsilon-RI serotonin-release inhibition assays	Phosphorylated LILRB1 ITIMs recruited SHP1 and inhibited Fc-epsilon-RI-associated serotonin release in receptor-expression systems.			validated_primary_output	bounded_output_only	conditional_product_continuation	Serotonin is a measured small-molecule output with no protein-form continuation; preserve the Y614/Y644 tandem ITIM and surrogate Fc-epsilon-RI context, without ligand, SCI or terminal-TF inference.
M21B-E001193	M21B-E001193	M21B-EVID-001136	M21B-DISC-1082	module21b_materialized_edge	CD94-NKG2A ITIM-SHP1 inhibitory signaling	NKG2A/SHP1-associated TNF suppression	Tnf	inhibits	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC2587243 and PMCID:PMC3100565; cited_primary_in_review=PMID:9485206; primary_checked=PMID:9485206	PMID:9485206	human	Human CD94-NKG2A T-cell clones and NK cells	NKG2A receptor cross-linking; phospho-ITIM peptide SPR; SHP1 association; cytotoxicity/TNF assays	Dual NKG2A ITIM engagement recruited SHP1 and was associated with suppression of measured TNF output in human NK/T-cell models.	PROTEIN:NODE08072		validated_primary_output	bounded_output_only	conditional_product_continuation	Preserve CD94-NKG2A heterodimer, dual ITIM dependence and the published erratum/context; TNF suppression is not a terminal-TF or SCI inference.
M21B-E001194	M21B-E001194	M21B-EVID-001137	M21B-DISC-1083	module21b_materialized_edge	CD94-NKG2A ITIM-SHP2 inhibitory signaling	NKG2A/SHP2-associated TNF suppression	Tnf	inhibits	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC2587243 and PMCID:PMC3100565; cited_primary_in_review=PMID:9485206; primary_checked=PMID:9485206	PMID:9485206	human	Human CD94-NKG2A T-cell clones and NK cells	NKG2A receptor cross-linking; phospho-ITIM peptide SPR; SHP2 association; cytotoxicity/TNF assays	Dual NKG2A ITIM engagement associated with SHP2 recruitment and suppression of measured TNF output in human NK/T-cell models.	PROTEIN:NODE08072		validated_primary_output	bounded_output_only	conditional_product_continuation	Preserve CD94-NKG2A heterodimer and dual ITIM/context dependence; SHP2 is not claimed as the sole mediator, and no terminal-TF or SCI inference is made.
M21B-E001208	M21B-E001208	M21B-EVID-001151	M21B-DISC-1097	module21b_materialized_edge	SIGLEC7 ITIM-SHP1 inhibitory signaling	Siglec7/SHP1-associated serotonin-release suppression	Serotonin	inhibits	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC3902170; cited_primary_in_review=PMID:15557178; primary_checked=PMID:15557178	PMID:15557178	human	Human Siglec7 receptor and rat basophilic-leukemia systems	Pervanadate/co-crosslinking and ITIM-mutant assays; SHP1 association; calcium/serotonin-release inhibition	Phosphorylated Siglec7 ITIM recruited SHP1 and suppressed Fc-epsilon-RI-linked serotonin release in receptor-expression systems.			validated_primary_output	bounded_output_only	conditional_product_continuation	Serotonin is a measured small-molecule output with no protein-form continuation; preserve membrane-proximal ITIM/crosslinking context and no natural glycan, SCI or terminal-TF inference.
M21B-E001209	M21B-E001209	M21B-EVID-001152	M21B-DISC-1098	module21b_materialized_edge	SIGLEC7 ITIM-SHP2 inhibitory signaling	Siglec7/SHP2-associated serotonin-release suppression	Serotonin	inhibits	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC3902170; cited_primary_in_review=PMID:15557178; primary_checked=PMID:15557178	PMID:15557178	human	Human Siglec7 receptor and rat basophilic-leukemia systems	Pervanadate/co-crosslinking and ITIM-mutant assays; SHP2 association; calcium/serotonin-release inhibition	Phosphorylated Siglec7 ITIM associated with SHP2 and suppressed Fc-epsilon-RI-linked serotonin release in receptor-expression systems.			validated_primary_output	bounded_output_only	conditional_product_continuation	Serotonin is a measured small-molecule output with no protein-form continuation; preserve membrane-proximal ITIM/crosslinking context and do not infer SHP2 exclusivity, natural glycan specificity, SCI or terminal-TF effects.
M21B-E001210	M21B-E001210	M21B-EVID-001153	M21B-DISC-1099	module21b_materialized_edge	SIGLEC9 ITIM-SHP1 inhibitory signaling	Siglec9/SHP1-associated serotonin-release suppression	Serotonin	inhibits	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC3902170; cited_primary_in_review=PMID:15557178; primary_checked=PMID:15557178	PMID:15557178	human	Human Siglec9 receptor and rat basophilic-leukemia systems	Pervanadate/co-crosslinking and ITIM-mutant assays; SHP1 association; calcium/serotonin-release inhibition	Phosphorylated Siglec9 ITIM recruited SHP1 and suppressed Fc-epsilon-RI-linked serotonin release in receptor-expression systems.			validated_primary_output	bounded_output_only	conditional_product_continuation	Serotonin is a measured small-molecule output with no protein-form continuation; preserve membrane-proximal ITIM/crosslinking context and no natural glycan, SCI or terminal-TF inference.
M21B-E001211	M21B-E001211	M21B-EVID-001154	M21B-DISC-1100	module21b_materialized_edge	SIGLEC9 ITIM-SHP2 inhibitory signaling	Siglec9/SHP2-associated serotonin-release suppression	Serotonin	inhibits	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC3902170; cited_primary_in_review=PMID:15557178; primary_checked=PMID:15557178	PMID:15557178	human	Human Siglec9 receptor and rat basophilic-leukemia systems	Pervanadate/co-crosslinking and ITIM-mutant assays; SHP2 association; calcium/serotonin-release inhibition	Phosphorylated Siglec9 ITIM associated with SHP2 and suppressed Fc-epsilon-RI-linked serotonin release in receptor-expression systems.			validated_primary_output	bounded_output_only	conditional_product_continuation	Serotonin is a measured small-molecule output with no protein-form continuation; preserve membrane-proximal ITIM/crosslinking context and do not infer SHP2 exclusivity, natural glycan specificity, SCI or terminal-TF effects.
M21B-E001281	M21B-E001281	M21B-EVID-001224	M21B-DISC-1170	module21b_materialized_edge	Dectin-1 pY15-SHIP1 inhibitory signaling	Dectin-1/SHIP1-associated ROS modulation	ROS	inhibits	receptor_proximal_or_pathway;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC8882614; cited_primary_in_review=PMID:26416276; primary_checked=PMID:26416276	PMID:26416276; PMCID:PMC4641325	human; mouse	Primary dendritic-cell phagosome assays and SHIP1-deficient ROS systems	Dectin-1 pY15 phosphopeptide/SH2 binding; Y15F mutants; phagosome colocalization; SHIP1-deficient ROS assays	Dectin-1 pY15-associated SHIP1 recruitment was linked to inhibition/modulation of measured ROS in myeloid phagosome systems.			validated_primary_output	bounded_output_only	conditional_product_continuation	ROS is a measured small-molecule output with direction/context dependent on SHIP1 perturbation; preserve the Y3/Y15 hemITAM and Candida/zymosan myeloid context, with no universal output, SCI or terminal-TF inference.
M21B-E003873	M21B-E003873	M21B-EVID-003816	M21B-DISC-3765	module21b_materialized_edge	LOS-TREM2 bacterial-lipid signaling	LOS/TREM2-associated IL-6 output	Il6	induces	ligand_receptor_or_direct_molecular;downstream_or_functional	review_record=work/module_b_consolidation/module21b/module21b_edge_register.tsv; review_lead=PMCID:PMC5485854; cited_primary_in_review=PMID:19079182; primary_checked=PMID:19079182; PMCID:PMC2614303	PMID:19079182; PMCID:PMC2614303; DOI:10.1038/mi.2008.1	human; mouse	Neisseria gonorrhoeae LOS outer-membrane assays; murine TREM2A-Fc and TREM2A-transfected BWZ reporter cells; human TREM2-expressing HeLa cells	LOS binding by far-western/ELISA/SPR; TREM2A reporter signaling; HeLa IL-6 readout	Gonococcal LOS engaged TREM2A and was associated with measured IL-6 output in TREM2-expressing human cells.	PROTEIN:NODE03873		validated_primary_output	bounded_output_only	conditional_product_continuation	Preserve N. gonorrhoeae LOS and TREM2A/transfected-cell context; the IL-6 readout supports conditional product continuation but does not establish a complete gene-to-protein transition, SCI branch or terminal-TF edge.
